HDR,ROLLING SYSTEM DEMAND
VD,20200303094000,38587
VD,20200303094500,38529
VD,20200303095000,38468
VD,20200303095500,38451
VD,20200303100000,38230
VD,20200303100500,37955
VD,20200303101000,37838
VD,20200303101500,37593
VD,20200303102000,37595
VD,20200303102500,37614
VD,20200303103000,36317
VD,20200303103500,36316
VD,20200303104000,37653
VD,20200303104500,37643
VD,20200303105000,37412
VD,20200303105500,37342
VD,20200303110000,37523
VD,20200303110500,37315
VD,20200303111000,37370
VD,20200303111500,37371
VD,20200303112000,37458
VD,20200303112500,37446
VD,20200303113000,37401
VD,20200303113500,37335
VD,20200303114000,37202
VD,20200303114500,37176
VD,20200303115000,37309
VD,20200303115500,33913
VD,20200303120000,37382
VD,20200303120500,37576
VD,20200303121000,37554
VD,20200303121500,37490
VD,20200303122000,37359
VD,20200303122500,37362
VD,20200303123000,37262
VD,20200303123500,37235
VD,20200303124000,37223
VD,20200303124500,37246
VD,20200303125000,37278
VD,20200303125500,37289
VD,20200303130000,37237
VD,20200303130500,37035
VD,20200303131000,37030
VD,20200303131500,37089
VD,20200303132000,36948
VD,20200303132500,36734
VD,20200303133000,36559
VD,20200303133500,36603
VD,20200303134000,36541
VD,20200303134500,36523
VD,20200303135000,36318
VD,20200303135500,36288
VD,20200303140000,36312
VD,20200303140500,36434
VD,20200303141000,36552
VD,20200303141500,36599
VD,20200303142000,36557
VD,20200303142500,36528
VD,20200303143000,36404
VD,20200303143500,36400
VD,20200303144000,36222
VD,20200303144500,36262
VD,20200303145000,36282
VD,20200303145500,36254
VD,20200303150000,36380
VD,20200303150500,36698
VD,20200303151000,36926
VD,20200303151500,36943
VD,20200303152000,37114
VD,20200303152500,37297
VD,20200303153000,37407
VD,20200303153500,37450
VD,20200303154000,37667
VD,20200303154500,37852
VD,20200303155000,38037
VD,20200303155500,38295
VD,20200303160000,38371
VD,20200303160500,38307
VD,20200303161000,38536
VD,20200303161500,38653
VD,20200303162000,39010
VD,20200303162500,39354
VD,20200303163000,39579
VD,20200303163500,39904
VD,20200303164000,40123
VD,20200303164500,40408
VD,20200303165000,40770
VD,20200303165500,40975
VD,20200303170000,41035
VD,20200303170500,41334
VD,20200303171000,41579
VD,20200303171500,41728
VD,20200303172000,42070
